# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Sat Aug 14 22:39:35 2021
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+107138+0j,+1.11654e+06+613628j
2013-08-28 00:00:02 PST,+107211+0j,+1.11763e+06+614142j
2013-08-28 00:00:03 PST,+107185+0j,+1.11724e+06+613963j
2013-08-28 00:00:04 PST,+107217+0j,+1.11771e+06+614183j
2013-08-28 00:00:05 PST,+107221+0j,+1.11777e+06+614214j
2013-08-28 00:00:06 PST,+107229+0j,+1.11789e+06+614271j
2013-08-28 00:00:07 PST,+107215+0j,+1.11768e+06+614176j
2013-08-28 00:00:08 PST,+107220+0j,+1.11776e+06+614209j
2013-08-28 00:00:09 PST,+107213+0j,+1.11765e+06+614161j
2013-08-28 00:00:10 PST,+107219+0j,+1.11774e+06+614199j
2013-08-28 00:00:11 PST,+107215+0j,+1.11768e+06+614175j
2013-08-28 00:00:12 PST,+107219+0j,+1.11773e+06+614198j
2013-08-28 00:00:13 PST,+107216+0j,+1.11769e+06+614179j
2013-08-28 00:00:14 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:15 PST,+107217+0j,+1.1177e+06+614185j
2013-08-28 00:00:16 PST,+107217+0j,+1.11771e+06+614188j
2013-08-28 00:00:17 PST,+107217+0j,+1.11771e+06+614186j
2013-08-28 00:00:18 PST,+107217+0j,+1.11771e+06+614188j
2013-08-28 00:00:19 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:20 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:21 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:22 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:23 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:24 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:25 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:26 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:27 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:28 PST,+107217+0j,+1.11771e+06+614187j
2013-08-28 00:00:29 PST,+107217+0j,+1.11771e+06+614187j
